Ensemble Gene ID	H7	H8	H9	K6	K7	K8
ENSMUSG00000102693	25	99	18	88	73	60
ENSMUSG00000064842	78	12	94	91	74	68
ENSMUSG00000051951	8	43	92	19	88	72
ENSMUSG00000102851	100	30	25	21	99	72
ENSMUSG00000103377	10	66	57	42	7	74
ENSMUSG00000104017	91	4	48	99	3	49
ENSMUSG00000103025	60	81	57	14	38	58
ENSMUSG00000089699	18	10	39	71	35	16
ENSMUSG00000103201	53	53	51	38	71	21
ENSMUSG00000103147	61	29	7	96	39	96
ENSMUSG00000103161	91	30	18	79	100	36
ENSMUSG00000102331	93	32	30	10	62	60
ENSMUSG00000102348	32	61	16	29	72	76
ENSMUSG00000102592	84	21	71	14	21	64
ENSMUSG00000088333	84	44	63	69	31	97
ENSMUSG00000102343	26	27	41	59	50	98
ENSMUSG00000025900	27	6	82	62	79	86
ENSMUSG00000102948	57	17	12	52	97	91
ENSMUSG00000104123	79	37	80	3	94	92
ENSMUSG00000025902	89	30	83	67	50	8
ENSMUSG00000104238	14	69	57	67	4	42
ENSMUSG00000102269	86	4	81	25	32	98
ENSMUSG00000096126	81	88	88	3	1	54
ENSMUSG00000103003	98	36	45	38	96	74
ENSMUSG00000104328	29	83	60	92	79	1
ENSMUSG00000102735	99	49	96	38	35	45
ENSMUSG00000098104	81	4	94	30	73	70
ENSMUSG00000102175	68	92	89	78	20	2
ENSMUSG00000088000	85	100	46	56	64	68
ENSMUSG00000103265	89	36	24	41	67	50
ENSMUSG00000103922	39	19	58	92	77	99
ENSMUSG00000033845	82	96	2	48	25	63
ENSMUSG00000102275	82	49	17	79	67	62
ENSMUSG00000025903	3	83	3	53	94	97
ENSMUSG00000104217	71	22	91	54	8	98
ENSMUSG00000033813	34	86	67	62	47	14
ENSMUSG00000062588	26	40	75	15	26	72
ENSMUSG00000103280	38	8	23	86	78	100
ENSMUSG00000002459	99	100	88	3	80	64
ENSMUSG00000091305	8	56	20	76	74	29
ENSMUSG00000102653	54	41	35	7	72	4
ENSMUSG00000085623	28	42	1	77	61	79
ENSMUSG00000091665	5	0	64	69	26	86
ENSMUSG00000033793	51	2	95	34	58	54
ENSMUSG00000104352	59	85	39	59	11	9
ENSMUSG00000104046	8	4	49	100	19	6
ENSMUSG00000102907	26	10	25	66	11	11
ENSMUSG00000025905	88	62	7	85	31	60
ENSMUSG00000103936	44	100	62	34	95	55
ENSMUSG00000093015	81	81	29	100	16	70
ENSMUSG00000103519	44	48	23	42	7	41
ENSMUSG00000033774	27	92	88	75	82	0
ENSMUSG00000103090	66	70	85	2	93	47
ENSMUSG00000025907	46	40	22	19	34	4
ENSMUSG00000090031	40	14	82	3	8	71
ENSMUSG00000087247	18	47	4	14	86	7
ENSMUSG00000103355	80	15	1	91	7	13
ENSMUSG00000102706	65	50	47	94	78	48
ENSMUSG00000103845	56	84	91	8	98	17
ENSMUSG00000033740	29	2	26	16	99	83
ENSMUSG00000103329	71	28	47	43	38	67
ENSMUSG00000104385	53	14	99	36	6	34
ENSMUSG00000102135	20	93	68	14	44	15
ENSMUSG00000103282	25	92	87	39	18	18
ENSMUSG00000102534	12	99	0	42	69	73
ENSMUSG00000102213	0	56	31	2	80	46
ENSMUSG00000103629	53	53	96	32	73	87
ENSMUSG00000051285	64	81	9	52	96	93
ENSMUSG00000098201	40	29	21	51	82	56
ENSMUSG00000103509	26	34	0	90	83	61
ENSMUSG00000048538	28	70	88	90	38	30
ENSMUSG00000103709	65	52	38	39	77	8
ENSMUSG00000077244	76	32	47	64	22	54
ENSMUSG00000102768	34	19	3	26	99	27
ENSMUSG00000097797	75	8	33	44	41	66
ENSMUSG00000103498	82	96	91	74	71	100
ENSMUSG00000103067	27	80	10	0	72	0
ENSMUSG00000102320	65	7	85	14	22	98
ENSMUSG00000104226	25	37	43	68	77	76
ENSMUSG00000103903	14	55	4	68	32	34
ENSMUSG00000103557	50	84	80	23	18	52
ENSMUSG00000025909	3	19	85	50	19	20
ENSMUSG00000102647	54	19	25	34	29	52
ENSMUSG00000086235	60	73	94	16	84	5
ENSMUSG00000102253	49	20	67	70	21	59
ENSMUSG00000093970	80	67	90	57	24	62
ENSMUSG00000103884	32	74	96	70	70	12
ENSMUSG00000084353	87	34	36	4	7	36
ENSMUSG00000103933	83	24	10	83	83	2
ENSMUSG00000076135	79	89	100	48	3	76
ENSMUSG00000086195	47	8	92	46	3	60
ENSMUSG00000104504	98	45	45	40	97	58
ENSMUSG00000066693	81	27	90	68	97	24
ENSMUSG00000102316	73	52	45	54	95	31
ENSMUSG00000103819	58	15	74	97	80	83
ENSMUSG00000102871	40	56	88	73	7	19
ENSMUSG00000101571	77	50	65	92	24	60
ENSMUSG00000104428	42	59	6	99	67	18
ENSMUSG00000102272	65	72	67	63	83	3
ENSMUSG00000065625	56	87	58	4	1	4
ENSMUSG00000103411	55	9	94	36	35	93
ENSMUSG00000061024	69	43	88	10	83	46
ENSMUSG00000025911	73	63	1	54	56	93
ENSMUSG00000079671	21	50	26	8	46	75
ENSMUSG00000081441	40	66	56	81	1	54
ENSMUSG00000067879	69	83	100	92	6	27
ENSMUSG00000099827	1	14	49	23	12	66
ENSMUSG00000025912	76	9	100	41	19	18
ENSMUSG00000045210	22	2	94	42	0	40
ENSMUSG00000097893	58	3	10	88	8	92
ENSMUSG00000025915	94	6	74	56	89	51
ENSMUSG00000046334	40	94	81	39	98	72
ENSMUSG00000088916	62	67	19	34	31	88
ENSMUSG00000046101	3	0	58	75	16	82
ENSMUSG00000098234	4	88	94	84	68	32
ENSMUSG00000093178	61	65	20	87	1	56
ENSMUSG00000099032	59	18	25	34	48	74
ENSMUSG00000104025	12	37	15	86	68	60
ENSMUSG00000025916	84	17	38	66	65	46
ENSMUSG00000087199	53	59	30	44	17	26
ENSMUSG00000095780	92	25	70	44	92	79
ENSMUSG00000025917	7	32	24	78	69	93
ENSMUSG00000056763	28	94	68	59	62	81
ENSMUSG00000102356	48	19	65	90	10	8
ENSMUSG00000067851	84	42	71	100	33	51
ENSMUSG00000088153	96	16	34	46	54	98
ENSMUSG00000102556	94	48	64	67	78	3
ENSMUSG00000042501	63	69	47	33	65	51
ENSMUSG00000103810	71	66	76	86	98	38
ENSMUSG00000083422	63	55	45	26	7	0
ENSMUSG00000094979	94	61	92	55	10	30
ENSMUSG00000081417	84	95	72	41	86	60
ENSMUSG00000103448	14	14	28	29	13	64
ENSMUSG00000100212	87	45	91	67	73	26
ENSMUSG00000100648	64	40	7	49	0	18
ENSMUSG00000088585	60	35	88	50	22	34
ENSMUSG00000048960	77	99	86	7	23	31
ENSMUSG00000077318	0	76	30	61	65	66
ENSMUSG00000101827	33	74	17	99	42	88
ENSMUSG00000103494	76	56	67	82	91	38
ENSMUSG00000057715	94	91	8	61	8	94
ENSMUSG00000103825	70	54	54	77	68	38
ENSMUSG00000099845	4	39	36	29	98	55
ENSMUSG00000103561	99	44	39	39	9	72
ENSMUSG00000101610	11	98	76	14	66	13
ENSMUSG00000093864	94	49	45	42	86	90
ENSMUSG00000098555	33	67	72	89	13	45
ENSMUSG00000097628	73	31	76	30	16	75
ENSMUSG00000098163	0	89	32	79	75	67
ENSMUSG00000097171	92	92	96	36	71	7
ENSMUSG00000101314	61	40	49	51	35	22
ENSMUSG00000016918	49	69	75	62	73	44
ENSMUSG00000025938	21	10	27	87	23	41
ENSMUSG00000104518	20	58	98	6	74	95
ENSMUSG00000069620	50	83	84	25	81	83
ENSMUSG00000099498	24	100	22	46	52	47
ENSMUSG00000042414	41	81	33	27	62	58
ENSMUSG00000005886	80	86	100	2	5	92
ENSMUSG00000103506	6	64	40	29	59	23
ENSMUSG00000103495	14	96	67	97	27	95
ENSMUSG00000099183	9	65	52	73	24	99
ENSMUSG00000102639	10	17	80	90	28	40
ENSMUSG00000104170	94	27	2	66	27	74
ENSMUSG00000087782	98	43	6	95	70	25
ENSMUSG00000103085	79	68	78	71	70	53
ENSMUSG00000102664	50	56	45	65	4	15
ENSMUSG00000101476	4	42	53	85	19	86
ENSMUSG00000101171	73	3	11	82	34	8
ENSMUSG00000025935	6	15	4	88	57	26
ENSMUSG00000025937	35	79	87	54	3	46
ENSMUSG00000102982	29	57	63	75	61	41
ENSMUSG00000067813	29	48	10	41	49	75
ENSMUSG00000077368	46	84	5	58	73	7
ENSMUSG00000097711	68	43	100	68	69	20
ENSMUSG00000102166	26	57	6	48	10	84
ENSMUSG00000089358	25	80	2	34	63	32
ENSMUSG00000104209	65	43	57	33	54	41
ENSMUSG00000025932	11	43	1	45	42	56
ENSMUSG00000095853	71	17	25	27	78	25
ENSMUSG00000102588	99	55	55	55	15	25
ENSMUSG00000054493	86	68	88	91	98	31
ENSMUSG00000025930	78	40	27	16	100	47
ENSMUSG00000103492	68	10	55	93	31	36
ENSMUSG00000081201	96	83	72	62	3	34
ENSMUSG00000082193	62	9	19	31	92	86
ENSMUSG00000032769	11	39	15	9	79	44
ENSMUSG00000088159	53	36	18	67	39	63
ENSMUSG00000073737	41	35	8	79	47	93
ENSMUSG00000092083	91	48	60	100	63	12
ENSMUSG00000102937	81	80	83	81	48	78
ENSMUSG00000104149	67	60	80	36	17	21
ENSMUSG00000088829	96	45	51	48	64	16
ENSMUSG00000077377	47	20	24	27	87	8
ENSMUSG00000101652	10	26	67	37	20	37
ENSMUSG00000100814	54	19	49	63	49	55
ENSMUSG00000025925	33	45	59	58	10	70
ENSMUSG00000104379	66	58	31	38	83	24
ENSMUSG00000032719	27	83	75	32	61	39
ENSMUSG00000088943	5	18	48	58	4	43
ENSMUSG00000100652	43	2	50	58	21	69
ENSMUSG00000067795	9	57	12	15	89	94
ENSMUSG00000043716	84	19	46	53	25	99
ENSMUSG00000025921	74	22	12	87	99	52
ENSMUSG00000104165	98	51	55	27	55	65
ENSMUSG00000100868	54	34	98	41	28	88
ENSMUSG00000025920	81	73	21	27	24	24
ENSMUSG00000089982	11	61	98	13	65	23
ENSMUSG00000025939	28	92	10	64	28	54
ENSMUSG00000102457	21	71	64	67	46	73
ENSMUSG00000079658	28	86	5	23	13	64
ENSMUSG00000097744	31	98	40	81	70	13
ENSMUSG00000100959	57	20	13	25	92	38
ENSMUSG00000025940	87	27	45	38	69	94
ENSMUSG00000025779	43	54	73	2	33	43
ENSMUSG00000100093	68	89	76	40	84	37
ENSMUSG00000091020	25	48	50	41	37	43
ENSMUSG00000101640	49	45	57	35	56	26
ENSMUSG00000104133	37	88	8	56	5	50
ENSMUSG00000042686	14	59	53	53	32	42
ENSMUSG00000100110	75	35	35	65	34	18
ENSMUSG00000025777	30	10	66	93	6	96
ENSMUSG00000099899	18	85	18	13	92	34
ENSMUSG00000100272	54	97	33	54	78	97
ENSMUSG00000100398	72	90	57	51	24	75
ENSMUSG00000101589	61	33	82	87	14	66
ENSMUSG00000102048	40	10	90	8	36	96
ENSMUSG00000089534	32	59	78	10	30	99
ENSMUSG00000067780	59	46	87	83	87	17
ENSMUSG00000100053	85	65	17	19	43	10
ENSMUSG00000085125	21	84	24	50	92	65
ENSMUSG00000025776	7	98	89	12	95	84
ENSMUSG00000099895	82	18	32	99	39	89
ENSMUSG00000100554	10	88	61	25	43	62
ENSMUSG00000099473	98	38	69	2	8	53
ENSMUSG00000099591	39	39	93	13	94	14
ENSMUSG00000109887	16	57	25	10	3	91
ENSMUSG00000102001	91	67	54	61	58	54
ENSMUSG00000101717	13	8	76	36	59	100
ENSMUSG00000025774	63	85	64	25	44	44
ENSMUSG00000070977	49	56	30	55	7	91
ENSMUSG00000073735	37	48	67	98	23	16
