Ensemble Gene ID	H11	H12	H13	K12	K13	K14
ENSMUSG00000102693	40	77	67	100	89	5
ENSMUSG00000064842	33	42	95	51	41	39
ENSMUSG00000051951	12	36	79	20	7	58
ENSMUSG00000102851	88	70	81	85	32	83
ENSMUSG00000103377	45	26	74	3	28	42
ENSMUSG00000104017	100	69	19	14	51	65
ENSMUSG00000103025	93	78	33	77	37	15
ENSMUSG00000089699	49	75	5	25	78	31
ENSMUSG00000103201	98	71	47	39	85	84
ENSMUSG00000103147	74	69	73	46	23	45
ENSMUSG00000103161	76	6	80	25	98	100
ENSMUSG00000102331	77	52	80	65	51	23
ENSMUSG00000102348	21	1	41	50	5	56
ENSMUSG00000102592	69	11	32	58	48	66
ENSMUSG00000088333	9	6	87	22	67	95
ENSMUSG00000102343	84	89	33	26	4	87
ENSMUSG00000025900	26	97	79	81	39	62
ENSMUSG00000102948	89	56	9	6	67	4
ENSMUSG00000104123	2	99	96	36	77	69
ENSMUSG00000025902	89	57	8	94	6	51
ENSMUSG00000104238	44	94	52	20	27	61
ENSMUSG00000102269	94	90	63	46	74	20
ENSMUSG00000096126	90	12	60	80	93	44
ENSMUSG00000103003	30	74	49	21	11	72
ENSMUSG00000104328	86	72	21	86	31	92
ENSMUSG00000102735	88	89	15	73	70	36
ENSMUSG00000098104	51	53	14	85	39	73
ENSMUSG00000102175	17	54	49	6	70	63
ENSMUSG00000088000	80	70	18	52	73	2
ENSMUSG00000103265	33	95	86	93	20	31
ENSMUSG00000103922	46	41	45	3	75	66
ENSMUSG00000033845	2	3	18	85	84	87
ENSMUSG00000102275	43	81	32	0	36	37
ENSMUSG00000025903	3	93	42	8	82	74
ENSMUSG00000104217	79	97	18	5	66	59
ENSMUSG00000033813	79	34	70	41	6	53
ENSMUSG00000062588	96	86	89	28	77	5
ENSMUSG00000103280	77	51	68	41	78	68
ENSMUSG00000002459	71	47	82	63	99	50
ENSMUSG00000091305	46	21	77	79	41	88
ENSMUSG00000102653	76	59	82	62	93	70
ENSMUSG00000085623	36	91	4	37	17	61
ENSMUSG00000091665	71	69	17	43	74	88
ENSMUSG00000033793	55	40	75	58	21	87
ENSMUSG00000104352	80	16	9	0	94	96
ENSMUSG00000104046	26	12	96	78	93	5
ENSMUSG00000102907	30	5	20	52	91	77
ENSMUSG00000025905	86	47	47	29	65	58
ENSMUSG00000103936	5	73	78	79	28	7
ENSMUSG00000093015	46	30	63	89	42	43
ENSMUSG00000103519	31	21	46	67	45	14
ENSMUSG00000033774	39	63	12	84	50	35
ENSMUSG00000103090	20	69	9	79	73	2
ENSMUSG00000025907	63	62	53	53	64	68
ENSMUSG00000090031	52	18	0	54	3	1
ENSMUSG00000087247	1	30	10	99	17	38
ENSMUSG00000103355	49	39	31	98	5	66
ENSMUSG00000102706	6	75	66	21	42	81
ENSMUSG00000103845	20	27	10	90	84	16
ENSMUSG00000033740	55	68	81	83	100	87
ENSMUSG00000103329	38	26	48	3	93	43
ENSMUSG00000104385	27	88	45	28	32	90
ENSMUSG00000102135	95	40	44	21	12	97
ENSMUSG00000103282	21	77	23	20	20	67
ENSMUSG00000102534	21	93	100	43	43	32
ENSMUSG00000102213	78	48	50	88	17	23
ENSMUSG00000103629	68	36	26	23	90	38
ENSMUSG00000051285	88	84	6	37	10	24
ENSMUSG00000098201	25	40	11	68	38	24
ENSMUSG00000103509	34	27	43	64	98	25
ENSMUSG00000048538	11	11	45	68	15	19
ENSMUSG00000103709	9	48	81	12	9	73
ENSMUSG00000077244	50	6	99	11	8	63
ENSMUSG00000102768	96	42	14	74	19	50
ENSMUSG00000097797	70	27	14	54	60	89
ENSMUSG00000103498	11	23	98	26	16	91
ENSMUSG00000103067	94	83	47	43	31	54
ENSMUSG00000102320	62	16	6	88	30	61
ENSMUSG00000104226	19	66	12	28	98	89
ENSMUSG00000103903	80	87	0	21	14	84
ENSMUSG00000103557	81	90	97	24	23	28
ENSMUSG00000025909	52	5	60	1	77	68
ENSMUSG00000102647	59	93	16	81	26	77
ENSMUSG00000086235	82	57	42	2	74	70
ENSMUSG00000102253	45	40	29	16	37	19
ENSMUSG00000093970	80	69	55	49	97	76
ENSMUSG00000103884	51	0	29	16	77	22
ENSMUSG00000084353	13	43	4	91	38	12
ENSMUSG00000103933	62	52	72	26	23	82
ENSMUSG00000076135	80	90	20	45	6	70
ENSMUSG00000086195	67	79	8	99	24	1
ENSMUSG00000104504	69	57	87	86	19	22
ENSMUSG00000066693	80	18	3	18	48	20
ENSMUSG00000102316	100	24	49	22	28	26
ENSMUSG00000103819	10	95	0	20	49	96
ENSMUSG00000102871	80	60	73	97	60	83
ENSMUSG00000101571	72	54	35	65	57	77
ENSMUSG00000104428	60	55	24	39	66	90
ENSMUSG00000102272	56	64	85	73	20	67
ENSMUSG00000065625	31	78	86	69	78	51
ENSMUSG00000103411	60	59	63	0	83	85
ENSMUSG00000061024	65	54	55	48	43	51
ENSMUSG00000025911	8	55	55	19	28	29
ENSMUSG00000079671	85	99	46	20	18	88
ENSMUSG00000081441	50	14	67	32	10	14
ENSMUSG00000067879	15	83	4	81	88	16
ENSMUSG00000099827	13	24	48	52	13	55
ENSMUSG00000025912	39	52	92	38	42	18
ENSMUSG00000045210	31	69	58	81	5	95
ENSMUSG00000097893	75	12	30	97	83	84
ENSMUSG00000025915	11	62	50	58	76	40
ENSMUSG00000046334	52	7	5	4	55	63
ENSMUSG00000088916	91	61	42	29	87	26
ENSMUSG00000046101	38	82	38	16	56	40
ENSMUSG00000098234	99	27	70	64	37	76
ENSMUSG00000093178	54	77	72	54	94	66
ENSMUSG00000099032	2	37	71	58	52	1
ENSMUSG00000104025	8	14	60	54	25	74
ENSMUSG00000025916	48	26	14	6	12	61
ENSMUSG00000087199	82	7	84	83	20	94
ENSMUSG00000095780	61	12	73	69	53	26
