Ensemble Gene ID	H16	H17	H18	K16	K17	K18
ENSMUSG00000102693	51	22	79	11	89	67
ENSMUSG00000064842	71	7	24	52	12	49
ENSMUSG00000051951	91	66	65	86	50	24
ENSMUSG00000102851	33	91	36	43	90	20
ENSMUSG00000103377	74	76	71	23	62	30
ENSMUSG00000104017	96	56	15	5	29	83
ENSMUSG00000103025	17	29	33	76	31	86
ENSMUSG00000089699	72	86	8	56	76	86
ENSMUSG00000103201	56	10	45	58	95	30
ENSMUSG00000103147	7	43	64	52	46	75
ENSMUSG00000103161	65	23	57	71	38	80
ENSMUSG00000102331	61	47	18	85	68	57
ENSMUSG00000102348	0	22	0	10	42	94
ENSMUSG00000102592	69	0	64	96	76	74
ENSMUSG00000088333	62	64	24	42	20	10
ENSMUSG00000102343	35	71	0	93	12	68
ENSMUSG00000025900	47	27	9	34	63	10
ENSMUSG00000102948	58	99	7	97	98	41
ENSMUSG00000104123	27	31	0	39	19	62
ENSMUSG00000025902	55	6	29	58	99	23
ENSMUSG00000104238	20	28	8	68	26	69
ENSMUSG00000102269	23	97	20	70	8	54
ENSMUSG00000096126	82	33	94	94	2	2
ENSMUSG00000103003	86	66	66	68	67	25
ENSMUSG00000104328	34	25	28	87	28	28
ENSMUSG00000102735	69	23	3	17	31	35
ENSMUSG00000098104	4	61	66	90	32	31
ENSMUSG00000102175	22	97	30	71	58	58
ENSMUSG00000088000	16	90	84	8	73	7
ENSMUSG00000103265	27	81	31	2	47	17
ENSMUSG00000103922	41	72	73	96	78	41
ENSMUSG00000033845	67	77	34	56	60	16
ENSMUSG00000102275	58	0	90	76	87	81
ENSMUSG00000025903	73	24	86	54	64	50
ENSMUSG00000104217	0	90	8	35	9	70
ENSMUSG00000033813	30	53	94	42	53	5
ENSMUSG00000062588	84	82	22	64	91	35
ENSMUSG00000103280	7	72	22	82	13	52
ENSMUSG00000002459	30	94	47	62	96	61
ENSMUSG00000091305	26	30	49	87	82	26
ENSMUSG00000102653	42	54	0	45	60	11
ENSMUSG00000085623	34	89	48	80	80	85
ENSMUSG00000091665	53	97	50	6	23	43
ENSMUSG00000033793	90	52	36	56	80	54
ENSMUSG00000104352	56	86	56	26	43	83
ENSMUSG00000104046	37	66	93	56	20	77
ENSMUSG00000102907	25	0	63	20	55	99
ENSMUSG00000025905	99	2	22	83	74	98
ENSMUSG00000103936	29	25	48	50	37	44
ENSMUSG00000093015	80	72	22	32	71	56
ENSMUSG00000103519	88	57	53	56	16	40
ENSMUSG00000033774	37	31	21	79	14	34
ENSMUSG00000103090	66	74	37	88	28	84
ENSMUSG00000025907	27	83	56	58	41	29
ENSMUSG00000090031	14	13	12	15	76	26
ENSMUSG00000087247	71	46	71	81	39	18
ENSMUSG00000103355	97	46	69	92	53	64
ENSMUSG00000102706	18	26	88	66	46	17
ENSMUSG00000103845	65	30	23	87	8	94
ENSMUSG00000033740	45	33	92	22	81	53
ENSMUSG00000103329	82	41	88	10	19	8
ENSMUSG00000104385	76	91	38	62	71	39
ENSMUSG00000102135	71	46	95	56	3	58
ENSMUSG00000103282	40	64	93	65	43	6
ENSMUSG00000102534	75	32	63	46	40	96
ENSMUSG00000102213	3	14	1	63	56	36
ENSMUSG00000103629	24	33	78	87	50	68
ENSMUSG00000051285	63	74	93	73	58	31
ENSMUSG00000098201	41	9	91	62	3	99
ENSMUSG00000103509	81	85	42	48	6	44
ENSMUSG00000048538	5	89	95	3	88	100
ENSMUSG00000103709	86	3	1	55	12	20
ENSMUSG00000077244	15	80	96	69	36	9
ENSMUSG00000102768	22	95	53	44	29	52
ENSMUSG00000097797	93	29	71	49	17	40
ENSMUSG00000103498	81	50	39	16	90	94
ENSMUSG00000103067	36	93	87	80	92	55
ENSMUSG00000102320	51	6	39	13	91	79
ENSMUSG00000104226	65	38	35	78	32	79
ENSMUSG00000103903	100	45	19	83	53	60
ENSMUSG00000103557	19	81	71	97	20	26
ENSMUSG00000025909	11	60	85	35	2	70
ENSMUSG00000102647	51	43	42	39	41	8
ENSMUSG00000086235	39	1	87	89	3	40
ENSMUSG00000102253	85	90	85	22	56	56
ENSMUSG00000093970	39	12	18	15	74	26
ENSMUSG00000103884	63	18	41	57	19	39
ENSMUSG00000084353	21	25	90	8	13	45
ENSMUSG00000103933	62	57	50	47	45	1
ENSMUSG00000076135	29	18	5	90	49	96
ENSMUSG00000086195	47	41	87	43	55	8
ENSMUSG00000104504	45	67	91	95	51	46
ENSMUSG00000066693	70	4	82	80	5	65
ENSMUSG00000102316	10	47	29	13	64	80
ENSMUSG00000103819	74	87	23	92	6	85
ENSMUSG00000102871	18	47	94	88	45	55
ENSMUSG00000101571	44	1	34	93	59	66
ENSMUSG00000104428	13	31	34	41	85	55
ENSMUSG00000102272	13	44	82	19	49	40
ENSMUSG00000065625	19	17	80	81	20	22
ENSMUSG00000103411	27	81	72	80	90	84
ENSMUSG00000061024	81	86	35	99	96	5
ENSMUSG00000025911	100	28	89	78	19	77
ENSMUSG00000079671	21	29	34	53	63	58
ENSMUSG00000081441	20	76	15	6	23	38
ENSMUSG00000067879	15	78	53	31	79	62
ENSMUSG00000099827	7	30	14	30	74	12
ENSMUSG00000025912	100	11	82	63	51	83
ENSMUSG00000045210	10	93	73	76	53	1
ENSMUSG00000097893	23	100	93	27	46	25
ENSMUSG00000025915	31	31	78	0	70	55
ENSMUSG00000046334	95	11	73	84	48	48
ENSMUSG00000088916	15	2	77	13	16	95
ENSMUSG00000046101	43	80	83	73	98	83
ENSMUSG00000098234	18	10	49	6	82	48
ENSMUSG00000093178	66	41	21	68	0	58
ENSMUSG00000099032	65	31	86	33	78	68
ENSMUSG00000104025	91	34	84	43	72	97
ENSMUSG00000025916	39	26	9	8	3	58
ENSMUSG00000087199	35	2	33	71	87	9
ENSMUSG00000095780	42	89	58	78	27	18
ENSMUSG00000025917	92	79	11	26	5	56
ENSMUSG00000056763	97	8	8	73	63	49
ENSMUSG00000102356	50	43	58	24	28	15
ENSMUSG00000067851	71	17	44	91	7	59
ENSMUSG00000088153	83	23	56	66	36	81
ENSMUSG00000102556	52	99	28	12	47	36
ENSMUSG00000042501	5	46	42	55	56	31
ENSMUSG00000103810	43	7	20	4	84	1
ENSMUSG00000083422	0	0	6	41	11	25
ENSMUSG00000094979	68	55	1	55	16	33
ENSMUSG00000081417	71	29	90	29	77	99
ENSMUSG00000103448	48	10	16	63	62	49
ENSMUSG00000100212	0	26	13	2	10	9
ENSMUSG00000100648	22	60	97	62	53	86
ENSMUSG00000088585	23	32	39	63	83	59
ENSMUSG00000048960	87	94	38	70	12	87
ENSMUSG00000077318	76	21	40	51	42	58
ENSMUSG00000101827	62	72	51	97	41	62
ENSMUSG00000103494	69	49	60	77	38	63
ENSMUSG00000057715	38	30	95	10	90	40
ENSMUSG00000103825	64	95	54	69	9	76
ENSMUSG00000099845	8	85	35	97	3	45
ENSMUSG00000103561	100	73	19	55	46	38
ENSMUSG00000101610	47	21	18	97	82	9
ENSMUSG00000093864	43	33	87	57	66	92
ENSMUSG00000098555	82	32	25	65	60	20
ENSMUSG00000097628	46	93	73	13	62	33
ENSMUSG00000098163	84	45	64	86	12	73
ENSMUSG00000097171	35	7	92	23	96	41
ENSMUSG00000101314	97	32	31	34	58	50
ENSMUSG00000016918	6	23	68	9	73	69
ENSMUSG00000025938	78	58	78	30	84	20
ENSMUSG00000104518	88	78	32	94	55	24
ENSMUSG00000069620	52	96	94	29	79	58
ENSMUSG00000099498	40	49	15	89	17	89
ENSMUSG00000042414	25	9	71	45	7	76
ENSMUSG00000005886	77	48	60	83	24	24
ENSMUSG00000103506	88	50	38	73	46	7
ENSMUSG00000103495	27	10	61	92	37	31
ENSMUSG00000099183	77	6	44	79	42	31
ENSMUSG00000102639	56	99	39	90	6	28
ENSMUSG00000104170	90	77	92	42	30	63
ENSMUSG00000087782	82	11	83	74	47	47
ENSMUSG00000103085	51	0	88	59	8	83
ENSMUSG00000102664	56	2	65	38	17	46
ENSMUSG00000101476	51	33	53	49	15	46
ENSMUSG00000101171	88	88	58	74	13	54
ENSMUSG00000025935	11	31	36	51	73	99
ENSMUSG00000025937	26	45	99	92	87	46
ENSMUSG00000102982	60	15	34	68	43	79
ENSMUSG00000067813	71	95	5	89	87	32
ENSMUSG00000077368	53	30	50	95	46	58
ENSMUSG00000097711	17	41	33	77	21	46
ENSMUSG00000102166	14	91	83	83	37	28
ENSMUSG00000089358	68	68	60	91	64	44
ENSMUSG00000104209	17	46	65	67	100	60
ENSMUSG00000025932	36	6	13	27	59	24
ENSMUSG00000095853	83	78	32	41	96	92
ENSMUSG00000102588	36	95	18	20	31	79
ENSMUSG00000054493	75	78	81	61	20	30
ENSMUSG00000025930	19	15	47	53	47	12
ENSMUSG00000103492	19	57	61	41	33	88
ENSMUSG00000081201	68	36	39	96	97	84
ENSMUSG00000082193	97	99	25	62	99	23
ENSMUSG00000032769	12	57	63	48	91	12
ENSMUSG00000088159	21	44	8	5	81	17
ENSMUSG00000073737	0	91	68	73	7	10
ENSMUSG00000092083	60	9	38	92	0	29
ENSMUSG00000102937	50	60	18	17	11	40
ENSMUSG00000104149	62	67	2	83	16	2
ENSMUSG00000088829	33	34	5	64	33	97
ENSMUSG00000077377	87	68	90	31	82	70
ENSMUSG00000101652	42	92	44	65	98	65
ENSMUSG00000100814	89	63	47	75	48	83
ENSMUSG00000025925	12	70	39	58	47	29
ENSMUSG00000104379	88	71	31	30	90	61
ENSMUSG00000032719	30	49	60	7	17	0
ENSMUSG00000088943	14	98	93	60	55	84
ENSMUSG00000100652	70	19	28	91	64	48
ENSMUSG00000067795	91	20	69	36	68	54
ENSMUSG00000043716	100	67	10	74	71	68
ENSMUSG00000025921	29	3	64	77	7	41
ENSMUSG00000104165	69	24	53	43	16	26
ENSMUSG00000100868	21	49	2	7	17	5
ENSMUSG00000025920	76	77	100	28	23	88
ENSMUSG00000089982	93	65	17	18	76	26
ENSMUSG00000025939	33	80	61	7	90	21
ENSMUSG00000102457	64	67	86	73	76	49
ENSMUSG00000079658	40	34	54	16	32	88
ENSMUSG00000097744	12	81	63	92	62	34
ENSMUSG00000100959	97	44	57	21	72	91
ENSMUSG00000025940	58	88	20	27	67	13
ENSMUSG00000025779	64	11	16	59	10	99
ENSMUSG00000100093	81	65	51	83	15	11
ENSMUSG00000091020	29	26	54	4	47	77
ENSMUSG00000101640	37	77	81	87	21	56
ENSMUSG00000104133	2	79	22	20	99	55
ENSMUSG00000042686	22	14	11	50	1	70
ENSMUSG00000100110	26	19	40	13	66	37
ENSMUSG00000025777	89	52	63	95	14	27
ENSMUSG00000099899	45	90	67	98	88	17
ENSMUSG00000100272	84	29	45	71	37	95
ENSMUSG00000100398	22	92	4	96	11	7
ENSMUSG00000101589	13	82	41	74	40	94
ENSMUSG00000102048	83	46	20	0	87	50
ENSMUSG00000089534	26	12	79	19	96	36
ENSMUSG00000067780	82	89	68	68	48	16
ENSMUSG00000100053	37	80	7	76	64	41
ENSMUSG00000085125	80	31	8	18	5	30
ENSMUSG00000025776	89	85	10	72	30	84
ENSMUSG00000099895	26	40	98	95	47	14
ENSMUSG00000100554	30	28	11	1	3	47
ENSMUSG00000099473	1	4	4	83	78	55
ENSMUSG00000099591	11	83	54	61	1	31
ENSMUSG00000109887	39	46	79	7	84	22
ENSMUSG00000102001	38	80	29	23	94	42
ENSMUSG00000101717	65	55	12	90	71	56
ENSMUSG00000025774	67	66	60	20	91	74
ENSMUSG00000070977	47	28	28	68	21	48
ENSMUSG00000073735	27	49	43	31	51	16
ENSMUSG00000067773	11	24	84	16	74	20
ENSMUSG00000101685	6	75	85	73	74	86
ENSMUSG00000101738	11	17	19	68	50	92
ENSMUSG00000101306	9	15	85	47	30	67
ENSMUSG00000088800	35	78	80	3	7	61
ENSMUSG00000101644	84	4	43	47	11	64
ENSMUSG00000099433	29	33	76	42	50	29
ENSMUSG00000089787	55	26	58	20	34	10
ENSMUSG00000042596	51	58	9	3	61	1
ENSMUSG00000100720	32	58	65	66	32	70
ENSMUSG00000025927	37	22	84	38	37	61
ENSMUSG00000100538	27	47	40	0	87	18
ENSMUSG00000101117	67	30	92	32	23	100
ENSMUSG00000100204	6	41	82	79	36	89
ENSMUSG00000084668	93	83	68	71	18	27
ENSMUSG00000102597	91	91	42	53	3	53
ENSMUSG00000043760	81	84	77	75	28	80
ENSMUSG00000104095	69	6	81	64	83	50
ENSMUSG00000089914	61	68	15	35	61	63
ENSMUSG00000090142	27	79	47	56	36	27
ENSMUSG00000070175	48	26	32	42	86	7
ENSMUSG00000065559	78	75	36	1	61	83
ENSMUSG00000099906	10	46	83	78	28	4
ENSMUSG00000065480	80	86	91	33	11	35
ENSMUSG00000025929	21	67	99	14	48	4
ENSMUSG00000041872	71	73	29	56	75	29
ENSMUSG00000041859	83	44	39	25	63	29
ENSMUSG00000099714	62	29	87	69	58	28
ENSMUSG00000102121	49	73	29	98	37	21
ENSMUSG00000088858	0	18	60	1	58	30
ENSMUSG00000097934	89	49	69	47	48	18
ENSMUSG00000025931	7	30	67	2	55	22
ENSMUSG00000077314	5	62	76	81	40	0
ENSMUSG00000100929	53	92	15	7	48	1
ENSMUSG00000041809	12	28	25	19	93	12
ENSMUSG00000041779	98	88	100	75	56	64
ENSMUSG00000099971	83	21	99	37	17	67
ENSMUSG00000100819	56	69	91	24	95	22
ENSMUSG00000025933	76	99	86	2	43	0
ENSMUSG00000102633	44	54	82	81	8	61
ENSMUSG00000025934	33	54	76	96	91	60
ENSMUSG00000099343	21	30	91	6	76	78
ENSMUSG00000096375	0	35	64	22	19	7
ENSMUSG00000025936	24	88	23	99	53	21
ENSMUSG00000093963	99	2	10	86	4	12
ENSMUSG00000067750	86	43	76	99	41	47
ENSMUSG00000086194	27	18	1	58	33	18
ENSMUSG00000094436	84	35	17	41	15	12
ENSMUSG00000041722	67	57	19	18	75	36
ENSMUSG00000085507	14	50	35	87	61	54
ENSMUSG00000094926	15	93	17	5	45	11
ENSMUSG00000085079	51	29	62	90	58	29
ENSMUSG00000085679	3	13	21	41	22	4
ENSMUSG00000028033	23	83	38	48	52	8
ENSMUSG00000104138	20	33	60	76	25	98
ENSMUSG00000082935	31	87	64	39	40	57
ENSMUSG00000103748	0	45	55	89	42	89
ENSMUSG00000097109	80	34	61	59	20	5
ENSMUSG00000099692	10	50	13	69	83	67
ENSMUSG00000100418	43	3	74	58	44	53
ENSMUSG00000041670	68	32	25	91	11	22
ENSMUSG00000097642	22	43	63	34	49	88
ENSMUSG00000101468	64	5	63	91	86	35
ENSMUSG00000101227	47	41	77	30	80	62
ENSMUSG00000073730	53	7	44	63	51	48
ENSMUSG00000089553	60	86	42	81	20	86
ENSMUSG00000102766	15	66	14	28	11	39
ENSMUSG00000065405	49	89	26	77	11	22
ENSMUSG00000097970	15	98	45	14	22	21
ENSMUSG00000065567	58	82	18	34	77	92
ENSMUSG00000100775	26	34	6	16	77	63
ENSMUSG00000101226	92	30	39	58	19	79
ENSMUSG00000026158	29	71	37	70	25	63
ENSMUSG00000097920	88	97	95	71	71	63
ENSMUSG00000099503	28	4	88	51	72	100
ENSMUSG00000026156	97	72	23	72	51	31
ENSMUSG00000026155	53	50	97	43	44	5
ENSMUSG00000026154	92	71	77	10	24	99
ENSMUSG00000102495	52	11	55	73	93	54
ENSMUSG00000026153	31	58	84	75	52	89
ENSMUSG00000102398	45	15	80	87	79	3
ENSMUSG00000097670	49	7	54	66	3	76
ENSMUSG00000026147	23	25	54	26	37	13
ENSMUSG00000026141	57	8	85	5	60	53
ENSMUSG00000077463	2	28	8	61	42	56
ENSMUSG00000099997	56	35	97	54	34	98
ENSMUSG00000100131	10	67	90	2	0	43
ENSMUSG00000067736	86	82	42	57	37	0
ENSMUSG00000101939	9	4	64	79	22	65
ENSMUSG00000101111	82	61	15	17	2	20
ENSMUSG00000100862	6	46	13	34	1	79
ENSMUSG00000102070	50	66	71	14	87	63
ENSMUSG00000101249	66	5	58	44	75	99
ENSMUSG00000073725	4	1	49	47	50	1
ENSMUSG00000100808	36	96	26	86	91	25
ENSMUSG00000100483	41	74	13	32	26	83
ENSMUSG00000100450	60	98	47	10	54	52
ENSMUSG00000099392	32	57	97	50	54	82
ENSMUSG00000033569	20	15	63	72	63	21
ENSMUSG00000080849	55	51	3	56	73	27
ENSMUSG00000104257	87	30	65	13	69	68
ENSMUSG00000096866	81	53	36	79	81	78
ENSMUSG00000102296	0	60	37	63	62	64
ENSMUSG00000103209	99	29	25	51	94	62
ENSMUSG00000104027	41	4	9	57	69	48
ENSMUSG00000102407	46	92	55	83	77	87
ENSMUSG00000103214	20	13	51	84	25	95
ENSMUSG00000104100	84	64	36	19	38	86
ENSMUSG00000084740	68	27	56	78	8	88
ENSMUSG00000103889	37	75	36	23	89	90
ENSMUSG00000101301	8	15	17	2	65	96
ENSMUSG00000104221	59	60	36	34	70	65
ENSMUSG00000102250	32	61	11	85	72	54
ENSMUSG00000102317	23	91	38	3	6	82
ENSMUSG00000103563	42	78	80	46	66	1
ENSMUSG00000102465	12	10	67	41	11	44
ENSMUSG00000102659	90	47	90	89	91	74
ENSMUSG00000103924	43	15	37	47	65	67
ENSMUSG00000104132	69	61	86	46	6	87
ENSMUSG00000102747	98	56	34	14	79	79
ENSMUSG00000102386	93	57	97	96	77	0
ENSMUSG00000103004	86	100	37	48	37	6
ENSMUSG00000104516	79	46	42	54	72	64
ENSMUSG00000101618	37	67	31	87	18	44
ENSMUSG00000099458	22	29	85	100	87	95
ENSMUSG00000088111	75	83	1	65	50	28
ENSMUSG00000073722	0	32	44	89	42	58
ENSMUSG00000095256	49	92	20	63	3	21
ENSMUSG00000100310	36	9	51	11	2	42
ENSMUSG00000101514	77	3	74	0	49	36
ENSMUSG00000101033	33	7	64	87	100	0
ENSMUSG00000101372	40	81	68	46	11	74
ENSMUSG00000103241	88	33	30	95	54	88
ENSMUSG00000086240	33	43	38	73	25	7
ENSMUSG00000048411	68	86	5	25	61	26
ENSMUSG00000081557	56	33	93	59	69	68
ENSMUSG00000058590	97	91	95	27	10	22
ENSMUSG00000101235	9	90	46	87	21	18
ENSMUSG00000064433	64	100	58	32	14	62
ENSMUSG00000080625	27	28	63	14	16	80
ENSMUSG00000080391	70	52	88	61	89	61
ENSMUSG00000099257	21	94	87	24	74	57
ENSMUSG00000099492	32	31	50	77	98	64
ENSMUSG00000101726	83	6	64	88	28	26
ENSMUSG00000096829	50	7	25	21	44	2
ENSMUSG00000098883	3	0	29	4	51	20
ENSMUSG00000053185	20	34	49	53	95	88
ENSMUSG00000100261	31	37	22	13	30	54
ENSMUSG00000101180	56	24	33	44	18	33
ENSMUSG00000048874	1	68	57	26	99	61
ENSMUSG00000103783	99	26	24	12	74	57
ENSMUSG00000104315	42	99	8	64	2	43
ENSMUSG00000026064	72	2	93	79	77	88
ENSMUSG00000086151	88	94	93	57	36	81
ENSMUSG00000086726	9	13	55	96	60	20
ENSMUSG00000087346	8	23	19	71	74	50
ENSMUSG00000100371	79	5	39	16	88	8
ENSMUSG00000100237	91	69	13	79	15	72
ENSMUSG00000098529	24	27	4	1	50	81
ENSMUSG00000086727	36	27	52	36	31	77
ENSMUSG00000100910	86	97	0	85	3	21
ENSMUSG00000099796	0	79	20	95	99	58
ENSMUSG00000050217	97	16	49	97	15	42
ENSMUSG00000026063	90	14	45	61	78	60
ENSMUSG00000077664	9	14	85	10	3	13
ENSMUSG00000100205	70	24	31	75	75	70
ENSMUSG00000100592	83	97	36	6	82	54
ENSMUSG00000094215	48	36	97	25	47	8
ENSMUSG00000101093	24	72	1	96	13	56
ENSMUSG00000070960	7	7	6	1	87	56
ENSMUSG00000088620	62	25	25	74	96	79
ENSMUSG00000082159	59	11	71	96	85	91
ENSMUSG00000026058	72	35	49	56	34	49
ENSMUSG00000064688	2	0	82	22	78	92
ENSMUSG00000103482	6	62	24	8	51	11
ENSMUSG00000104498	50	1	33	59	41	79
ENSMUSG00000104313	39	61	27	36	72	96
ENSMUSG00000102865	76	27	41	85	34	38
ENSMUSG00000102321	21	9	91	14	72	24
ENSMUSG00000091318	8	62	91	77	0	16
ENSMUSG00000089489	59	12	78	88	24	81
ENSMUSG00000104433	18	11	27	100	95	82
ENSMUSG00000089395	88	99	42	97	36	43
ENSMUSG00000102926	3	84	83	47	12	72
ENSMUSG00000100497	77	86	21	60	2	2
ENSMUSG00000102917	63	44	12	50	77	35
ENSMUSG00000100481	93	98	3	30	33	55
ENSMUSG00000100590	7	51	18	45	77	49
ENSMUSG00000088750	12	81	45	76	30	96
ENSMUSG00000104230	1	12	47	67	23	6
ENSMUSG00000101754	1	29	14	57	84	37
ENSMUSG00000065223	17	67	61	80	72	90
ENSMUSG00000100318	65	50	44	18	89	26
ENSMUSG00000101612	34	81	34	14	92	0
ENSMUSG00000065260	34	54	66	69	47	84
ENSMUSG00000026134	44	98	22	99	50	5
ENSMUSG00000101682	99	34	58	38	60	78
ENSMUSG00000102714	12	59	9	22	59	0
ENSMUSG00000102093	26	48	97	96	38	93
ENSMUSG00000103746	21	18	53	80	96	15
ENSMUSG00000102198	50	16	87	52	48	72
ENSMUSG00000004768	71	96	61	18	31	14
ENSMUSG00000042215	22	18	78	75	57	7
ENSMUSG00000103072	32	8	32	82	95	45
ENSMUSG00000042197	44	39	44	49	20	3
ENSMUSG00000081402	35	100	99	33	36	16
ENSMUSG00000042182	48	99	15	34	44	35
ENSMUSG00000104416	68	18	35	68	2	89
ENSMUSG00000026131	12	90	48	86	18	57
ENSMUSG00000103596	19	53	74	18	32	91
ENSMUSG00000099382	56	94	13	96	71	89
ENSMUSG00000084506	26	10	79	57	79	26
ENSMUSG00000103364	88	7	24	29	86	80
ENSMUSG00000105982	21	62	65	57	45	64
ENSMUSG00000096992	37	24	5	19	39	67
ENSMUSG00000103001	0	45	48	69	73	38
ENSMUSG00000104397	35	10	35	0	68	21
ENSMUSG00000102839	48	47	96	56	86	65
